"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6"
243166.416728205,1,2,1,46,2,3,2,4,2,3,72713.2116315217,103343.013388632,137648.73022379,165250.644270622,74507.4556939495,93638.2848967043,3027.85995801892,5808.19047146345,21376.3517011136,2408.86910951875,17753.9081672902,6500.8725094174
427326.971555737,1,1,2,38,3,2,1,1,0,2,480223.921079182,463237.529052865,416609.033970491,364356.813531896,347558.514746404,356421.944041706,10037.1650383379,14398.635620063,13360.772749274,29350.1730706266,3263.57687140447,22845.8768237616
35117.7894946269,2,2,2,39,1,-1,-1,0,0,2,39902.0857891779,29124.0540407817,36564.5720998881,14562.4944213442,59871.6913887387,69169.1646136286,1764.0056245151,4156.13156134508,7157.45960136337,8090.2311954916,3303.31726513482,317.923142568789
170562.644862238,1,2,2,24,0,-1,-1,-1,-1,0,84326.9458621769,155510.99201009,119002.497773803,180716.327664241,112859.438469267,119440.744089174,7073.59936227312,2426.12945528522,27720.5885400546,12016.1605566019,7379.27602265365,33779.1948179422
117128.184473282,1,2,1,29,2,2,1,5,7,6,38345.1568661928,9477.46463985676,97066.9669668651,16579.0428471375,11447.744459302,41993.9478166011,3908.61749088721,6697.12950510475,10073.2807674355,7595.26278307982,3705.14922453847,10272.9856375645
139729.574027135,2,1,1,34,3,0,3,2,1,-1,29279.2079992709,29848.2702582112,1552.85933621236,9508.94335301638,76145.0073690974,82540.1985891189,9864.4091217632,18712.990222822,7295.90292674343,3104.46570589495,5558.32530928811,12181.5860930485
170673.490446691,2,2,1,61,2,1,2,-1,0,0,7010.97639095697,25733.6465082109,20983.7964136702,37635.1326055308,18239.7713847739,9378.11051971729,6492.83206614051,20458.7493253003,12070.7328570631,9415.44314497508,7779.16163182231,7660.7787418758
83040.1663036993,2,1,1,21,0,1,-1,1,0,-1,21037.6511715306,28436.3476984682,796.557342763208,899.341969474126,31181.7507142575,45432.9784559388,10182.0797437128,13495.3851262887,17937.2642087204,2515.10924170723,9648.9549790753,9198.98748606479
97767.0446861429,2,1,2,24,1,-1,-1,1,-1,-1,38000.0622385774,3303.78201776592,22971.82594684,60224.2958242857,78534.3875609605,54050.4178355192,11641.1037196196,19936.2520441813,3560.41438503297,9399.23930361164,7842.51919665767,3764.04908330653
18925.1492209838,2,1,2,25,0,0,0,0,-1,-1,92145.8270700887,39092.0618470833,120778.404442558,57792.22090821,59490.9640924795,26318.3133065406,4395.92236483746,1434.88791763111,3165.88079515326,8486.1935551712,11678.554704535,4628.68376639025
77965.4710988728,1,1,2,39,-1,0,-1,-1,-1,0,70429.360841393,33980.6309240563,26758.8769378847,24761.9350068688,49423.2549861795,2578.12431975718,887.741552059319,4314.58601756256,24564.5570600114,4113.5272125148,2432.13463721532,9179.28675634382
33745.9150944075,2,4,2,21,1,0,-1,0,0,2,117013.72162493,66624.1591721941,125004.543598842,34112.7960270319,100519.421156673,48726.3778502074,17163.4026734957,8730.45325101296,4508.9794267626,22162.6893513887,3612.29111446508,30671.549277756
45734.9073250225,2,3,1,55,1,2,1,2,1,0,46705.7255862498,14796.4407913356,60297.0349465642,29828.8270789002,25670.0493498459,96384.0011895055,7185.16688559996,7270.80047481233,1863.63448997995,987.406454048315,1370.26215658722,5077.20670579988
213124.015467542,1,1,2,30,-1,-1,-1,0,-1,-1,10159.6124963864,11407.2326738453,8782.21385610215,64102.904573308,50924.1658507147,26182.5754783621,370.28771494555,6197.34399943899,178.945753247933,3186.48323631339,32313.2697822454,13898.9633893672
80171.0220000716,2,3,2,53,2,3,3,1,2,2,129909.280724011,88735.8710288071,5183.35398520548,12678.4569230515,68785.9841559245,5351.80473975914,5846.41726421698,22590.2982616712,4041.81159526263,306.121103209812,3338.13411753061,25350.4335983969
202706.797299886,1,2,2,36,1,3,2,2,2,1,91364.1651970499,95567.075122199,162468.318627361,194395.09933641,87426.5176535401,166684.363785599,1842.00396606376,2048.32540933901,4218.93926620059,7243.64498772646,14916.0645408626,6011.84229504626
303720.238757895,2,1,2,27,-1,0,0,0,0,1,198154.367519313,26023.8646586837,145608.555376868,85502.4727071614,72354.8789884921,133109.597877939,21011.3172421968,23004.6602623955,13494.9929337984,2090.17292553372,51313.1023727445,35854.8639934947
104319.575394764,2,2,3,28,0,-1,-1,-1,-1,-1,2402.29253836608,4071.14296881445,101467.975997356,74992.7071285463,41754.887226428,29078.9196253012,15.9846618048546,1623.93287133253,10730.187903986,6986.19514533682,19070.4766160547,5582.32993198042
78980.4066577242,2,2,2,21,1,-1,0,-1,1,1,46004.0815612324,16617.2395227915,87577.620612154,7815.44253073421,7020.47495904789,39592.03029948,9037.11314024829,2950.8478672359,21902.9554339148,6632.87796636018,9289.91289551265,1662.64334514512
46654.6900078229,2,1,2,38,2,2,2,2,2,2,37244.4964153952,33722.1823896191,12800.3519557004,17958.8939995441,19421.4879839666,5264.77914519962,8497.34683810492,3327.91674899914,12670.9581544476,4165.46203009065,6984.16230158069,19587.4613864875
409590.017858709,2,2,1,29,0,1,-1,-1,0,1,64823.6220374959,34799.5106451448,77023.8586559916,10081.3152717361,10533.0130868124,12923.5677545988,528.945220219485,4280.67797907363,17081.2826969387,6602.23038065478,21525.336656197,1762.74811590352
17636.6656048754,2,2,1,34,0,-1,0,0,1,-1,93208.6939929554,53169.1222183283,35735.0780745287,80825.8865546399,72487.9936479737,35114.4480203969,9460.47640515406,4512.89997392343,10718.4963519433,1526.78707765421,8949.8745474179,13160.1544428881
245910.221829055,2,2,1,39,0,0,0,1,0,0,86193.6169327786,72039.7477124002,19092.9517053983,104600.686106945,89260.4673967525,41665.1818818609,25202.54958986,16364.5528450744,2649.16607912091,17003.4559770326,4158.23858984463,896.902187400041
20247.5398120483,2,3,2,37,0,0,0,0,0,-1,68194.2602632286,36220.0714144365,74266.2453717611,108907.793606142,17552.2549635919,40271.5087926568,11042.3134187262,30043.9660333863,4482.20120516794,15724.4146513788,11932.7258390911,2561.77846455222
41314.5239291812,2,4,1,38,0,0,0,0,0,-1,69916.7945519853,16539.1594161599,25129.5314261405,4928.76749298193,34746.383681882,72325.9399147837,11283.0043081332,9680.64838690415,16359.9748591105,2037.25502422048,10745.9538306345,2322.13474644861
316008.474466455,1,1,2,34,-1,0,0,0,-1,1,162996.064506416,53071.8865040681,99848.2676026615,93558.0372102385,6229.2469950368,11518.8092426172,6390.67070375378,722.416310960441,15712.5137828618,9279.77808688071,10328.7955853582,8831.80092287778
128754.249429646,2,1,2,35,2,0,0,0,-1,0,65077.3606297651,124937.997790983,16386.8319786815,48438.6760892425,22461.6976518926,20918.2747224413,2861.26490574106,6045.05517914009,2691.55324959182,17029.3791206194,8862.25779317744,1408.42949790941
208309.036198601,2,3,1,44,-1,-1,0,-1,-1,-1,45483.2063136982,137616.413749243,27705.6869335054,16922.7322130401,8723.14100439218,51916.8709253882,456.743357190125,1449.86239159805,748.026022945293,283.842520570238,7508.66313812421,15428.3707825789
216796.842611117,2,1,1,40,-1,-1,-1,-1,-1,-1,34682.3516313874,27857.9352826779,33857.9973167873,68056.6333695923,45802.6613680596,27724.1418196558,8060.86818076098,11593.7467670998,7240.86000034926,10055.7579986999,14248.5754543582,9550.26518864124
31295.6200800397,1,2,2,26,0,0,-1,-1,0,2,18639.694273399,16088.2180547706,43987.3101425887,58674.7598459493,45150.2643460285,7245.20707226406,1965.10067152696,3206.01603595021,6342.54310021391,4176.18854517639,11598.0693928456,1383.13006451957
25560.2350667903,2,3,2,21,0,1,1,-1,1,-1,54276.1627633595,81443.0419814699,19561.456019643,68082.7430050803,24600.4643548593,65511.6230077665,4321.41088809991,30044.4233861855,3718.7341534207,8549.12861825978,13480.2843435242,4934.3904222278
57697.8370258575,1,2,2,21,0,0,1,1,-1,1,69698.1753452411,35258.8402671499,6751.10129431323,4691.10157083966,72743.2077627806,77967.0842996082,4868.77894297083,5398.76371264655,18811.0595273588,8752.80926323112,2986.34202217684,24542.9140295974
166238.876649224,2,1,1,43,-1,0,1,0,1,-1,62033.5378970662,234665.898337711,125708.463390336,104491.886587454,152553.592013553,141118.174719489,12204.6353192703,3505.28239509824,571.006464019472,2302.74118709889,10621.1482388828,29387.250423717
312140.001202583,1,2,1,31,-1,-1,-1,-1,-1,-1,58109.0853697837,45521.3415458403,26031.5047636618,24448.1530688868,59632.2932880938,28170.5248135036,6113.80056143952,11083.9170805775,3246.63210208594,5404.79491855029,4393.09470877788,11360.7075586624
30490.5869838956,1,1,2,24,1,1,2,1,-1,-1,115049.308807514,55054.9953553479,12245.3741998412,91274.1074926315,14125.9828407611,20410.0083863377,1535.5964892952,636.086688399691,1622.48918128955,18108.7253855682,12394.2948145502,12298.3540839274
518091.531166506,2,2,1,39,0,2,-1,0,0,-1,582325.510102796,522506.998036237,611174.927770282,533241.469295526,518917.041683872,199917.70784986,23804.9831619932,27485.3032870673,154438.192662414,15798.4352069394,3437.82638659198,156462.739905151
206516.829428698,2,1,3,28,-1,0,0,-1,-1,2,6619.89083511882,41722.14172831,59421.4628448972,49460.2403679962,9522.46617871823,28981.9413021865,3699.39106295382,3355.27459601533,13273.4890152393,39800.7687543774,1542.04034283124,4264.62707074361
239417.679020188,2,2,1,37,-1,-1,-1,-1,-1,-1,86954.5130208675,19799.6417370269,17255.8022060813,16492.6074244598,14869.4617176322,77349.9610282074,3569.11506338152,15140.8593360738,13930.2409719017,16461.091361463,10505.4338871305,4224.3782470147
33024.009803528,2,2,2,22,0,0,0,0,-1,1,52472.194249892,1763.09874133312,71398.832177193,58580.7757514164,20038.0535160034,29252.7087258509,5512.0678971587,29036.4489516918,5363.17141876595,26738.6822013128,11073.585506965,11018.4999450091
161655.013950196,2,1,2,40,1,0,-1,1,-1,-1,188774.443923509,233977.428945991,200448.792509973,96915.0125302174,169351.879278931,163684.76986401,10080.6039889798,28000.0034377026,11162.231725789,4934.19691240874,8082.74115780168,4080.67210943091
29062.1273245128,1,2,2,57,1,1,-1,0,-1,0,68830.4688078233,104470.883063754,57366.7144074756,24922.5440764324,12091.604402218,36987.5435946084,11567.4039991633,29363.9896298763,15373.5420859003,15391.9341440789,10783.4514315607,23036.602476592
143382.841974206,2,2,1,35,-1,0,-1,-1,-1,1,12047.0267702375,28527.4485963397,59071.7643004054,15499.6782742021,44939.919362618,8772.10491825436,26648.7314303369,19931.0145894935,14185.7130065151,17597.3837496174,2612.17619210169,1943.95111434264
314701.609675401,2,1,2,26,-1,-1,-1,-1,-1,0,29429.7834229636,8262.81440715398,32801.4698099848,46819.160893092,144464.807163309,110374.336669623,13390.788579708,37396.5946548751,13603.8633398319,95636.7119850253,7863.55640298305,32862.3343304842
67954.0689965559,2,2,2,23,0,1,0,-1,0,0,21113.1864469654,138420.222717844,73145.282938655,69733.336808227,152430.255605978,52945.5574252696,1162.04634987067,2253.44958425274,24542.4715065122,1772.3104298583,5560.27911419032,9417.71252402595
192907.003022272,2,2,1,30,2,4,1,1,1,0,115865.682071867,48657.340252252,98339.4889549624,110245.82619522,84297.9412451867,48663.1677607936,5331.84135494498,18852.9159487927,4557.27532872819,5661.2786347218,1529.20654376354,4051.943572816
367746.926333543,1,2,2,31,1,0,-1,0,-1,-1,14817.840119654,47406.8052131068,36316.9522199039,42389.6645655034,25878.9305461281,1646.12192983162,7302.66970990814,1966.27104891087,19497.4567158081,4241.52654459029,1948.85465069585,14926.2290422433
116830.33258876,2,1,2,25,1,-1,-1,0,1,-1,83775.9850211675,26142.5230386714,17085.153058735,70422.1283240547,922.704772387704,62748.3274513081,3726.02041498033,2585.94183143308,2042.97896476845,15189.1501943304,12297.6976911797,13090.8844963901
226843.913644766,2,4,2,50,0,0,0,0,1,1,110528.586528467,9289.28289771983,17500.6369699535,76118.8301591623,47073.0075471906,74888.2550322514,7792.97574699177,2334.69985948722,4600.05471726966,22482.312945616,10958.2513192833,15897.7773308934
368715.89387702,2,2,2,30,5,4,4,2,2,0,559486.420243156,530160.135342754,555814.867549782,392086.321192506,246421.058011209,245539.527272451,8563.00978852581,5100.73781053101,1267.7240412177,3172.40616891558,5886.08592511569,265827.555881069
16924.8575898156,2,2,1,35,3,2,1,2,1,2,97.8894380618149,45075.9339816147,62407.4229368326,37087.4899855099,41662.8790226206,44462.4709070579,2495.88743320772,7861.2207866555,2935.10194530082,723.551000923508,6058.8551263471,2369.63127003739
69477.0487698537,1,3,1,47,3,1,1,2,2,1,22112.8899968108,81008.1066821939,101163.287876175,160735.931439105,122230.300296101,61310.7303599658,8295.87519313282,7999.2538196875,2419.27921854131,16982.8890748261,6753.64422584636,11115.9299572042
54596.5199454433,2,1,1,41,0,1,3,1,0,-1,12241.4463246223,40285.6638923344,48287.4275165294,36554.3909752384,34392.732164001,34926.6384262166,8164.3486402208,30204.3636222257,2909.67708112568,3794.8573570915,9489.37047533997,3117.91502470086
417857.370006775,2,1,2,26,1,-1,0,-1,-1,-1,29223.3666495788,66668.3057417741,31807.4411146516,4287.17737826658,8727.24622289959,41116.3583426578,3625.75573567591,535.521261199839,13695.7599802412,6722.32341988544,3711.29361096357,1128.23175074193
55965.3195424278,2,3,2,21,0,1,-1,2,-1,2,57579.4985970077,55455.8739400862,19853.2135566092,18041.0535873719,102970.135302988,21800.4920771707,6838.8473591243,5995.37659203686,2765.75938700366,2588.65388485722,8543.89903133239,10067.8325505872
328306.960710939,2,3,1,31,-1,-1,-1,-1,-1,0,30254.1557527077,63949.2777449487,552.177126499311,30990.5647749298,83763.6377722089,26882.4532148893,2089.28556197226,6716.39422259179,2179.65323355345,5662.33957318714,6971.32769071541,1037.96368585023
46996.700759296,2,3,1,37,-1,-1,1,2,0,-1,13188.3949834802,28819.5033066762,6315.3876108157,35758.2047408728,2757.8127321342,37476.1005053636,7883.64080143684,9559.60479263309,6479.60914386554,4006.72960284478,4526.23215075036,472.085459179032
393653.821762915,2,1,1,22,-1,2,-1,0,1,0,58332.342508863,41410.1016023503,23647.664161066,134175.156407953,112463.348737346,62190.7324090795,22723.7285770263,8491.12816038686,32.1083058273675,6760.22558322478,13270.8739055952,12146.2690142578
443555.839931133,2,2,1,40,-1,-1,-1,-1,-1,-1,122234.043403073,4263.92799298226,8865.08501915409,35834.8392442363,47784.8086229845,8398.6861186223,5286.05931645072,7968.79458179205,10369.3081560566,3946.51463110725,2155.45413590896,12080.0104926238
159991.714257262,1,1,2,33,1,2,0,-1,0,-1,90821.2277601098,88872.6739145304,52587.9837252899,11116.7533112402,62916.1125099776,9978.64908450505,7059.34808601042,4442.7262553842,10191.8620361296,4701.05417453565,9230.39677338832,10796.3785791711
173611.153649741,1,2,2,53,2,0,0,1,0,1,61314.3452094786,69567.8945871073,21722.8915882164,75634.5532805677,50060.7424149195,9952.0147287562,8396.71004376588,6272.90881631759,3073.87872661553,22865.3213793724,2398.59356607755,12598.4318190294
198662.029064745,1,2,1,42,1,2,-1,2,-1,1,25789.5730471888,20782.1475879436,27354.3261997894,73035.1551869091,27401.5766850518,19789.4494321304,201.104027781078,386.490614658753,2040.6272425099,1209.2401912166,2780.60883796899,5282.94775295284
289709.307220893,2,1,1,40,0,0,2,-1,-1,0,35458.7247166619,72982.6877257309,81148.4197957018,20496.5048648014,12533.1354501018,46483.7565824072,8370.60586843907,10646.4086968564,11217.8002030268,10849.8786624736,15353.3386653625,14650.6537299553
184872.460761821,2,2,1,37,1,-1,0,0,0,0,123664.375774751,98985.9684202651,123111.957178652,128101.591874334,116060.369840033,89652.0695860012,32755.2727935755,1284.49261275024,14395.6158997926,5494.34104670765,13979.7640093616,18338.2590809438
76326.5318519054,2,3,2,47,0,1,0,0,1,1,20269.3115167761,50997.8073547529,65769.8410044128,9594.62975863632,11420.3777578156,28928.7160663044,297.757486015823,1259.16664000852,9901.15683270826,5301.98595253852,4629.75931818738,5419.96024574984
321234.404850553,1,3,2,33,-1,-1,-1,-1,-1,-1,64498.3139708339,32488.0553993435,26161.7159493049,58927.2755847977,17413.8564343451,21251.6494168428,1440.43502221698,17824.4428648562,10382.9629843922,15048.206735151,408.439935664067,10073.5199882975
271595.170764848,2,3,3,45,-1,-1,-1,-1,-1,-1,127212.020042055,40203.1400624441,56989.9135201457,59456.1391921349,6421.80188579045,22051.767025169,101.720170157169,13569.1159564401,2434.12141546441,16845.8180596242,10803.8191254166,4651.8381959001
552568.392255385,2,2,2,43,-1,-1,-1,-1,-1,-1,39292.8702817939,65481.5654266629,81837.7257801933,5582.4430955757,21093.2858934775,310045.43916831,3118.32910562151,44231.6743116045,2302.07339294989,21295.2844992124,309322.035553836,29404.7951598988
339765.538346611,1,1,2,25,0,-1,0,-1,1,1,559427.762788438,309240.237878068,266167.342986463,300871.020992231,12570.5922576558,52045.3529984311,9976.5261532907,2172.11358612259,1040.30023440841,4528.53229217129,943.04842466149,208620.255313026
359099.238670177,2,3,1,30,0,0,0,0,-1,0,258538.975886645,239942.31444059,587829.160365517,297642.9896292,265018.844247839,227818.853176911,29893.1326693885,15514.3612366892,18107.3312356705,8608.4736718153,4048.83568290975,16547.8362622676
183257.12019364,2,3,1,48,1,0,0,0,0,0,15686.9606744719,2819.59131194029,71432.626661572,2263.34008633365,6671.0230539026,3307.87818647926,20342.0436587201,6492.14751964339,3806.35711487431,3582.18883068904,7847.132651069,5979.74230726437
284687.215398779,1,1,2,30,2,-1,1,-1,-1,1,58550.3075564125,47832.382525344,7462.11276409995,13663.0446862076,35366.0506326588,41042.1524694386,16594.1892562507,321.247652972423,20324.0081903412,10880.8143840422,1784.75969293824,7172.6798601577
131367.911596692,2,1,2,40,-1,-1,-1,-1,-1,-1,71185.5276591475,96253.1747587377,10671.8852952734,39575.9763557878,39527.4821499608,59667.3419789246,7832.09720353883,10247.5973499959,17942.4091467949,3025.06779162433,13656.093709799,3675.45484311799
193092.338263995,2,1,2,27,-1,-1,-1,-1,-1,-1,35753.1072325187,42495.3699742419,19518.8707184867,16526.1952530249,17197.8503417903,29638.3021463103,13044.9755476583,38468.7249341419,952.139640379908,10205.383837651,23722.5742477897,11436.3777336148
30989.6852561287,2,2,1,30,2,4,0,0,0,-1,66054.3079205424,66246.8079686538,63101.1501409176,159326.296261245,45049.8125632446,145793.87471783,8715.37407864326,11202.4658264847,8694.95327354131,1808.73253750005,939.808891991215,2973.32136062694
178987.071777494,2,2,2,33,-1,1,0,-1,-1,-1,145024.21591942,104201.084520044,58199.4184498642,47312.772732061,8742.95604183122,35169.6351339634,6218.28055546525,7322.05027767466,1178.84276699231,3828.08257877153,860.83498299939,23590.807289014
14164.7691975589,2,3,1,38,1,-1,1,0,0,0,49858.8980758148,45510.364822999,63030.4160512895,54680.9784585435,32671.1421634187,22004.1307366516,2141.5731496556,22286.0300440021,14184.1563802658,10353.210969113,20391.6547326736,18371.7763154344
47905.0639728173,2,2,2,49,0,0,1,0,1,1,24270.1971678057,83486.5905827716,131348.538349888,80871.5402236147,88587.8425974839,105667.86733951,12586.5403710173,5862.3938588714,13770.1618516203,9710.76557686182,1819.09238247763,4245.98883444867
86081.7605767113,2,1,1,43,1,0,1,4,1,0,84047.2403062529,90589.882326961,22208.5611866703,32481.3074748046,29683.6372504713,52263.2926343815,18375.7467085365,10200.2719009092,3665.86152397759,11941.3077238047,7183.97499347842,12924.9078150493
6091.61868578588,2,3,2,37,-1,-1,-1,0,-1,-1,56240.0559608291,21038.0410349942,22476.6197208657,108603.758128578,5481.07587357634,59431.7780180403,837.633122454509,9318.13079385052,1376.89336795689,16382.245088515,9451.37479190308,13818.8439041859
402521.260322823,1,2,1,37,-1,-1,1,1,1,1,179090.683251214,177206.372981366,80649.2700326553,132321.878050842,135418.191836306,133355.079557359,6683.44135961703,13525.9414117219,15216.9509099955,5695.97078034582,6046.99990266954,1119.44307172211
216163.661518384,1,2,2,31,0,-1,0,-1,0,1,189451.237255005,190079.487103483,184181.343492205,193797.048470103,138676.815221321,62076.9428609625,16684.9209818546,5996.2600497669,3827.31523699433,16507.3632408098,17569.5054582622,504.643918427843
122506.691071754,1,2,3,39,0,1,2,0,1,0,14818.2583341551,51147.7214534139,924.076856641068,103275.020471757,49321.5656823754,1636.09728602049,3869.07875103255,8265.0996665425,3109.68506883991,5211.16009252693,9212.56450113694,9250.60906656803
115072.422161132,2,1,1,40,-1,1,0,0,0,0,26643.8176606368,121557.259041238,44320.5058761835,29851.4516556064,49989.7815280658,5903.10570661592,11351.793181815,3478.30629123616,1419.43839462574,30675.0474465628,611.594959121105,14749.7867712414
109105.426783529,2,1,2,29,0,1,1,0,1,1,26723.016455843,13655.6717310092,49053.1343942405,12844.8696839955,817.124399417624,30755.6051520289,2228.27170431883,13041.1095756132,1148.11158118871,17784.6783859817,37483.1498985137,18122.1321418234
228443.705543987,2,2,1,35,-1,0,1,1,1,-1,68923.6885015108,100054.343355846,119029.271745356,63372.0543541345,132749.199918478,84166.6224021323,27204.548449732,20219.5388128352,7289.13056967578,12986.6892304849,13462.3270501919,5466.53371309785
296684.963697221,2,4,1,22,1,-1,-1,-1,-1,-1,50047.7578043787,87972.9560652178,59832.4210461123,15598.5330653055,5565.81017631461,31676.3623759894,3985.79805077159,2268.55691105125,16705.9803610617,10194.1715338376,10132.7510467682,6395.68230783597
330320.693601842,2,1,2,32,-1,-1,-1,-1,-1,-1,3249.58127540016,95359.3228865808,26672.024676132,26226.199737849,46103.8746859483,22336.2306171022,5973.89782784488,13182.2270335429,17887.7076290711,2291.59161083449,16675.9206916528,15640.7272257381
153424.505969535,2,3,2,44,1,2,2,2,0,-1,1207.92346414017,6851.99009243899,6906.00775435629,22022.2288005208,29564.9110056129,32798.3476361358,7123.47672396818,16805.5639886218,9734.39865234262,19175.7446288211,13629.2821054789,10291.2934120796
334899.071479262,2,3,1,47,-1,-1,-1,-1,-1,0,27153.8947788508,67053.9932871623,26691.0213030582,23014.0269206919,60505.2619971028,36454.3023316816,9893.88087186748,8682.26631164313,9701.69498892778,1747.23405012673,4107.07142678393,12247.7212839303
250442.530355987,2,1,1,28,-1,-1,-1,-1,-1,-1,15350.1519225302,55399.3640205234,19276.7520004548,3973.47950520678,30110.7780572777,18191.3485262514,1539.92786629722,28647.0035690346,8728.14990043937,11834.5044964658,1109.19080060787,2785.6048532123
